model,trial,seed,worst_start,max_R,band,actual_weighted_mass,actual_intersections,count_j1,weighted_j1,count_j2,weighted_j2,count_j3,weighted_j3,count_j4,weighted_j4,count_j5,weighted_j5
independent_square,23,7860091661239013041,666965,105.5389840778236,n^3<d<=n^4,3.066666666666667,12,0,0.0,0,0.0,0,0.0,1,-0.6,11,3.666666666666667
independent_square,23,7860091661239013041,666965,105.5389840778236,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,24,11423400672835504822,438541,99.5389840778236,d<=n,414.2000000000157,2227,935,935.0,837,-781.1999999999864,379,303.20000000000215,73,-43.80000000000006,3,1.0
independent_square,24,11423400672835504822,438541,99.5389840778236,n<d<=n^2,-38.33333333333553,2135,0,0.0,304,-283.7333333333341,668,534.4000000000038,725,-435.00000000000506,438,145.99999999999977
independent_square,24,11423400672835504822,438541,99.5389840778236,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,24,11423400672835504822,438541,99.5389840778236,(n+1)^2<=d<=n^3,87.73333333333537,875,0,0.0,0,0.0,31,24.80000000000001,234,-140.39999999999938,610,203.33333333333474
independent_square,24,11423400672835504822,438541,99.5389840778236,n^3<d<=n^4,6.666666666666664,20,0,0.0,0,0.0,0,0.0,0,0.0,20,6.666666666666664
independent_square,24,11423400672835504822,438541,99.5389840778236,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,25,16236339653217658223,946191,172.7389840778236,d<=n,381.06666666668417,2247,936,936.0,873,-814.7999999999845,370,296.00000000000205,63,-37.80000000000005,5,1.6666666666666665
independent_square,25,16236339653217658223,946191,172.7389840778236,n<d<=n^2,-19.666666666672043,2026,0,0.0,286,-266.933333333334,739,591.2000000000006,726,-435.6000000000051,275,91.66666666666644
independent_square,25,16236339653217658223,946191,172.7389840778236,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
independent_square,25,16236339653217658223,946191,172.7389840778236,(n+1)^2<=d<=n^3,114.33333333333118,1596,0,0.0,0,0.0,55,43.99999999999997,475,-284.9999999999994,1066,355.3333333333306
