n,exact_holes,max_depth,K3_r3_ratio,K3_r3_margin,K3_bonf_ratio,K3_bonf_margin,K3_best_r,K3_best_ratio,K3_best_margin,K5_r3_ratio,K5_r3_margin,K5_bonf_ratio,K5_bonf_margin,K5_best_r,K5_best_ratio,K5_best_margin,K7_r3_ratio,K7_r3_margin,K7_bonf_ratio,K7_bonf_margin,K7_best_r,K7_best_ratio,K7_best_margin,K9_r3_ratio,K9_r3_margin,K9_bonf_ratio,K9_bonf_margin,K9_best_r,K9_best_ratio,K9_best_margin,K11_r3_ratio,K11_r3_margin,K11_bonf_ratio,K11_bonf_margin,K11_best_r,K11_best_ratio,K11_best_margin
111873,9518,8,1.03903533471,-4367,1.42896856257,-47990,3,1.03903533471,-4367,0.93369326528,7417.93333333,0.933719485488,7415,3,0.93369326528,7417.93333333,0.92474853501,8418.60714286,0.914939261484,9516,2,0.914939261484,9516,0.921036055766,8833.93333333,0.914921384069,9518,2,0.914921384069,9518,0.919090478408,9051.59090909,0.914921384069,9518,2,0.914921384069,9518
111879,9653,7,1.03711748109,-4152.66666667,1.42664843268,-47733,3,1.03711748109,-4152.66666667,0.932366812956,7566.73333333,0.932024776768,7605,2,0.932024776768,7605,0.923498345789,8558.92857143,0.913719286014,9653,2,0.913719286014,9653,0.919804034319,8972.24444444,0.913719286014,9653,2,0.913719286014,9653,0.91786797804,9188.84848485,0.913719286014,9653,2,0.913719286014,9653
111880,9590,8,1.03745679895,-4190.66666667,1.42674293886,-47744,3,1.03745679895,-4190.66666667,0.932860803242,7511.53333333,0.933455488023,7445,3,0.932860803242,7511.53333333,0.923991585372,8503.82142857,0.914318913121,9586,2,0.914318913121,9586,0.920323958209,8914.15555556,0.914283160529,9590,2,0.914283160529,9590,0.91840188622,9129.1969697,0.914283160529,9590,2,0.914283160529,9590
111883,9639,8,1.03725767096,-4168.5,1.4266331793,-47733,3,1.03725767096,-4168.5,0.932540242932,7547.6,0.932527729861,7549,2,0.932527729861,7549,0.923626211565,8544.92857143,0.913856439316,9638,2,0.913856439316,9638,0.919932032172,8958.24444444,0.913847501408,9639,2,0.913847501408,9639,0.917996045111,9174.84848485,0.913847501408,9639,2,0.913847501408,9639
111885,9562,8,1.03763388003,-4210.66666667,1.42749251464,-47830,3,1.03763388003,-4210.66666667,0.933202246354,7473.66666667,0.933708718774,7417,3,0.933202246354,7473.66666667,0.924269179451,8473.14285714,0.914564061313,9559,2,0.914564061313,9559,0.920592672039,8884.48888889,0.914537248067,9562,2,0.914537248067,9562,0.91866594623,9100.06060606,0.914537248067,9562,2,0.914537248067,9562
111886,9482,8,1.03875075225,-4335.66666667,1.42783726293,-47869,3,1.03875075225,-4335.66666667,0.933953011696,7389.73333333,0.933682498257,7420,2,0.933682498257,7420,0.925047433485,8386.14285714,0.915270900738,9480,2,0.915270900738,9480,0.921347323764,8800.13333333,0.915253025401,9482,2,0.915253025401,9482,0.91940822883,9017.09090909,0.915253025401,9482,2,0.915253025401,9482
111887,9624,8,1.03664262455,-4099.83333333,1.42573310572,-47634,3,1.03664262455,-4099.83333333,0.932621901263,7538.73333333,0.932717831383,7528,3,0.932621901263,7538.73333333,0.923717360245,8535.03571429,0.914020395578,9620,2,0.914020395578,9620,0.920040556792,8946.42222222,0.913984645222,9624,2,0.913984645222,9624,0.918113675838,9162.01515152,0.913984645222,9624,2,0.913984645222,9624
111893,9645,8,1.03629509144,-4061.16666667,1.42545110061,-47605,3,1.03629509144,-4061.16666667,0.93224241016,7581.6,0.931908162262,7619,2,0.931908162262,7619,0.923483978954,8561.60714286,0.913819452513,9643,2,0.913819452513,9643,0.919826183149,8970.88888889,0.913801578294,9645,2,0.913801578294,9645,0.917909263422,9185.37878788,0.913801578294,9645,2,0.913801578294,9645
111895,9623,8,1.03735645024,-4180,1.42790115734,-47880,3,1.03735645024,-4180,0.932664849487,7534.46666667,0.933106930605,7485,3,0.932664849487,7534.46666667,0.92373845378,8533.28571429,0.91405335359,9617,2,0.91405335359,9617,0.920059381067,8944.95555556,0.913999731892,9623,2,0.913999731892,9623,0.918131310875,9160.6969697,0.913999731892,9623,2,0.913999731892,9623
111901,9498,8,1.03808723783,-4262,1.4282356726,-47920,3,1.03808723783,-4262,0.933674706511,7421.86666667,0.933441166746,7448,2,0.933441166746,7448,0.924840771243,8410.39285714,0.915130338424,9497,2,0.915130338424,9497,0.921169009511,8821.26666667,0.915121401954,9498,2,0.915121401954,9498,0.919244770743,9036.59090909,0.915121401954,9498,2,0.915121401954,9498
