max_R,min_certificate,worst_start,fail_windows,R_median,R_q90,R_q99,R_q999,model,trial,seed
100.3389840778236,-80.06666666666666,626593,15670,-0.8610159221764029,7.67231741115693,23.738984077823595,53.338984077823596,uniform,30,10005628822224780695
98.40565074449027,-78.13333333333334,389722,18911,-0.8610159221764029,8.345650744488712,26.405650744490263,53.93898407782359,uniform,31,1149243824635878920
134.60565074449025,-114.33333333333333,562389,20731,-0.9276825888430693,7.67231741115693,28.5389840778236,52.40565074449026,uniform,32,14010337148789434687
97.40565074449027,-77.13333333333334,995252,16339,-0.9943492555097357,7.5389840778235975,23.938984077823598,48.5389840778236,uniform,33,2695261746004246540
103.00565074449027,-82.73333333333333,408761,20203,-0.9276825888430693,8.005650744490262,29.138984077823597,82.40565074449026,uniform,34,1122265878850096961
172.80565074449026,-152.53333333333333,146500,14388,-1.0610159221764022,7.472317411156929,23.67231741115693,96.36505074448661,uniform,35,17241154326776197027
94.87231741115693,-74.6,381398,17577,-0.9943492555097357,8.07231741115693,24.07231741115693,84.5389840778236,uniform,36,17168738959795029436
64.80565074449026,-44.53333333333333,288388,16718,-0.9943492555097357,7.805650744490263,24.005650744490264,51.61718407781261,uniform,37,2603053954296272380
110.80565074449026,-90.53333333333333,726851,16459,-0.9276825888430693,8.27231741115693,23.538984077823596,49.831717411153264,uniform,38,17251848433485109764
111.47231741115694,-91.2,884322,17848,-0.9943492555097357,8.27231741115693,24.805650744490265,92.07231741115693,uniform,39,2147676241649231079
96.00565074449027,-75.73333333333333,201873,18670,-1.0610159221764022,7.805650744490263,25.005650744490264,56.03171741115327,uniform,40,13194349143828874386
97.1389840778236,-76.86666666666666,574870,20348,-0.8610159221764029,8.27231741115693,26.07231741115693,55.7389840778236,uniform,41,4593750618322779610
167.60565074449028,-147.33333333333334,545199,19161,-0.9943492555097357,7.805650744490263,25.005650744490264,92.00565074449027,uniform,42,9226705772181374165
175.47231741115692,-155.2,973815,20754,-0.7943492555097365,8.07231741115693,29.27231741115693,90.60565074449026,uniform,43,4699857250292667841
108.47231741115694,-88.2,109046,17573,-0.9943492555097357,7.87231741115693,25.938984077823598,87.7650507444866,uniform,44,16540815585529415604
99.00565074449027,-78.73333333333333,548667,17714,-0.8610159221764029,8.27231741115693,24.47231741115693,67.23171741115327,uniform,45,9558739336293505974
100.20565074449027,-79.93333333333334,177019,20289,-0.8610159221764029,8.07231741115693,26.405650744490263,55.5389840778236,uniform,46,17315193449335715945
101.80565074449026,-81.53333333333333,652405,20890,-0.8610159221764029,8.67231741115693,27.005650744490264,55.672317411156925,uniform,47,1806005878972806933
