model,trial,seed,worst_start,max_R,min_certificate,fail_windows,total_actual_weighted_mass,impossible_product_weighted_mass,impossible_product_intersections
uniform,43,4699857250292667841,973815,175.47231741115692,-155.2,20754,546.2000000000097,182.99999999999793,1837
uniform,44,16540815585529415604,109046,108.47231741115694,-88.2,17573,479.2000000000153,95.200000000004,1309
uniform,45,9558739336293505974,548667,99.00565074449027,-78.73333333333333,17714,469.73333333335177,101.33333333333763,1347
uniform,46,17315193449335715945,177019,100.20565074449027,-79.93333333333334,20289,470.9333333333509,84.13333333333529,986
uniform,47,1806005878972806933,652405,101.80565074449026,-81.53333333333333,20890,472.53333333334814,82.53333333333394,746
uniform,48,2363637113911169719,644705,104.60565074449026,-84.33333333333333,19802,475.3333333333487,75.3999999999998,621
uniform,49,7743596886023264804,518958,94.47231741115694,-74.2,19235,465.20000000001556,66.7333333333331,644
uniform,50,10673223809566102092,896412,165.47231741115692,-145.2,16173,536.2000000000168,155.93333333333678,1102
uniform,51,14413751282253952044,884650,104.3389840778236,-84.06666666666666,20491,475.06666666668275,28.53333333333342,311
uniform,52,18430124290723235976,549289,104.60565074449026,-84.33333333333333,17756,475.3333333333478,82.46666666666927,1079
uniform,53,16657168272117680621,669096,94.3389840778236,-74.06666666666666,17034,465.06666666668514,87.66666666666826,1236
uniform,54,1905261976061308272,141860,104.60565074449026,-84.33333333333333,21504,475.3333333333501,142.4000000000025,913
uniform,55,17579865502794581295,863583,172.60565074449028,-152.33333333333334,17859,543.3333333333501,172.99999999999784,2031
uniform,56,16810219245519978699,797442,172.20565074449027,-151.93333333333334,21196,542.9333333333449,112.53333333333534,878
uniform,57,17727297950050456629,951920,74.47231741115694,-54.2,21515,445.2000000000173,73.26666666666789,875
uniform,58,12280759125770512069,757850,96.7389840778236,-76.46666666666667,18218,467.4666666666784,97.86666666666656,596
uniform,59,17274514349122069055,928460,89.60565074449026,-69.33333333333333,20322,460.3333333333482,81.93333333333275,572
uniform,60,9169926221389230890,479478,97.9389840778236,-77.66666666666667,17710,468.6666666666816,87.60000000000124,1289
uniform,61,12692306265315498601,550521,292.73898407782355,-272.46666666666664,19936,663.4666666666712,194.46666666666746,1352
uniform,62,912723564994218050,412406,97.40565074449027,-77.13333333333334,17681,468.13333333335333,106.4666666666692,1095
uniform,63,7340599011895167585,38235,103.80565074449026,-83.53333333333333,23113,474.53333333335223,93.26666666666912,1096
uniform,64,16763647181811983526,856949,462.53898407782356,-442.26666666666665,19957,833.2666666666529,400.26666666666347,2206
uniform,65,11848539689456647535,114285,107.3389840778236,-87.06666666666666,21102,478.06666666668804,97.33333333333596,1062
uniform,66,14918573513556145926,237343,287.9389840778236,-267.6666666666667,19313,658.6666666666698,249.19999999999683,1596
uniform,67,5745142070703483904,494348,59.338984077823596,-39.06666666666667,16283,430.06666666668366,57.53333333333342,699
uniform,68,6833221639398671370,756338,60.672317411156925,-40.4,13438,431.4000000000174,22.33333333333334,270
uniform,69,15060255819091035987,190251,107.7389840778236,-87.46666666666667,17030,478.46666666668534,101.53333333333514,1153
