n,K,event,old_best_r,new_best_r,best_ratio,best_margin,exact_holes,max_depth
109766,5,best_r_change,3,2,0.931208206548,7551,9591,8
109767,5,best_r_change,2,3,0.932314204937,7429.66666667,9465,8
109768,5,best_r_change,3,2,0.931546534509,7514,9545,8
109769,5,best_r_change,2,3,0.932374957107,7423.13333333,9461,8
109772,5,best_r_change,3,2,0.932979266115,7357,9366,8
109773,5,best_r_change,2,3,0.933343050355,7317.13333333,9373,8
109774,5,best_r_change,3,2,0.933390420318,7312,9349,8
109775,5,best_r_change,2,3,0.931808395961,7485.73333333,9527,8
109776,5,best_r_change,3,2,0.931633508235,7505,9492,8
109777,5,best_r_change,2,3,0.932446080084,7415.86666667,9464,8
109778,5,best_r_change,3,2,0.932071999854,7457,9440,8
109780,5,best_r_change,2,3,0.932441853404,7416.53333333,9471,8
109781,5,best_r_change,3,2,0.931727712446,7495,9519,8
109783,5,best_r_change,2,3,0.932046552441,7460.13333333,9519,8
109784,5,best_r_change,3,2,0.931929971581,7473,9488,8
109785,5,best_r_change,2,3,0.932439465015,7417.13333333,9469,8
109786,5,best_r_change,3,2,0.932250013663,7438,9479,8
109788,5,best_r_change,2,3,0.932745533817,7383.73333333,9429,8
109789,5,best_r_change,3,2,0.932543333121,7406,9444,8
109790,5,best_r_change,2,3,0.932118286426,7452.73333333,9486,7
109793,5,best_r_change,3,2,0.9315347973,7517,9563,8
109794,5,best_r_change,2,3,0.932754066707,7383.2,9421,8
109796,5,best_r_change,3,2,0.932884622391,7369,9415,8
109797,5,best_r_change,2,3,0.932771083606,7381.53333333,9432,8
109799,5,best_r_change,3,2,0.931319957377,7541,9577,8
109801,5,best_r_change,2,3,0.932679423078,7391.86666667,9438,8
109802,5,best_r_change,3,2,0.932341851697,7429,9466,7
109803,5,best_r_change,2,3,0.932413504185,7421.2,9459,8
109806,5,best_r_change,3,2,0.932990911243,7358,9395,8
109807,5,best_r_change,2,3,0.932508249322,7411.06666667,9459,8
109808,5,best_r_change,3,2,0.931152557191,7560,9548,8
109809,5,best_r_change,2,3,0.932446945757,7417.93333333,9454,8
109810,5,best_r_change,3,2,0.932747472908,7385,9429,8
109811,5,best_r_change,2,3,0.933134810417,7342.53333333,9395,8
109812,5,best_r_change,3,2,0.931528430408,7519,9523,8
109814,5,best_r_change,2,3,0.932099125187,7456.46666667,9506,8
109815,5,best_r_change,3,2,0.931885443701,7480,9510,8
109816,5,best_r_change,2,3,0.931785289332,7491.06666667,9533,8
109817,5,best_r_change,3,2,0.932168972017,7449,9478,8
109818,5,best_r_change,2,3,0.932660705288,7395.06666667,9428,7
109820,5,best_r_change,3,2,0.93136951375,7537,9539,8
